sample_id,source,Q_pct,q_cpu60,q_cpu61,q_cpu62,q_cpu63,q_cpu64,q_cpu65,q_cpu66,q_cpu67,load_vector
120,lhs,0,20,100,80,90,100,30,30,70,"60:20,61:100,62:80,63:90,64:100,65:30,66:30,67:70"
121,lhs,0,20,100,100,70,90,100,80,60,"60:20,61:100,62:100,63:70,64:90,65:100,66:80,67:60"
122,lhs,0,30,0,50,10,80,80,30,40,"60:30,61:0,62:50,63:10,64:80,65:80,66:30,67:40"
123,lhs,0,30,10,20,20,60,100,90,100,"60:30,61:10,62:20,63:20,64:60,65:100,66:90,67:100"
124,lhs,0,30,10,20,70,70,70,0,50,"60:30,61:10,62:20,63:70,64:70,65:70,66:0,67:50"
125,lhs,0,30,20,30,20,80,90,50,30,"60:30,61:20,62:30,63:20,64:80,65:90,66:50,67:30"
126,lhs,0,30,20,30,40,50,60,90,40,"60:30,61:20,62:30,63:40,64:50,65:60,66:90,67:40"
127,lhs,0,30,20,50,30,70,0,60,100,"60:30,61:20,62:50,63:30,64:70,65:0,66:60,67:100"
128,lhs,0,30,20,90,30,10,80,80,70,"60:30,61:20,62:90,63:30,64:10,65:80,66:80,67:70"
129,lhs,0,30,20,90,50,0,10,40,0,"60:30,61:20,62:90,63:50,64:0,65:10,66:40,67:0"
130,lhs,0,30,30,0,70,0,20,100,50,"60:30,61:30,62:0,63:70,64:0,65:20,66:100,67:50"
131,lhs,0,30,30,20,70,0,90,10,0,"60:30,61:30,62:20,63:70,64:0,65:90,66:10,67:0"
132,lhs,0,30,30,50,40,10,100,30,70,"60:30,61:30,62:50,63:40,64:10,65:100,66:30,67:70"
133,lhs,0,30,30,60,40,0,40,80,20,"60:30,61:30,62:60,63:40,64:0,65:40,66:80,67:20"
134,lhs,0,30,30,100,100,50,100,60,100,"60:30,61:30,62:100,63:100,64:50,65:100,66:60,67:100"
135,lhs,0,30,40,50,10,80,70,90,20,"60:30,61:40,62:50,63:10,64:80,65:70,66:90,67:20"
136,lhs,0,30,40,50,40,30,10,70,90,"60:30,61:40,62:50,63:40,64:30,65:10,66:70,67:90"
137,lhs,0,30,40,60,10,20,0,0,80,"60:30,61:40,62:60,63:10,64:20,65:0,66:0,67:80"
138,lhs,0,30,40,70,20,40,70,80,70,"60:30,61:40,62:70,63:20,64:40,65:70,66:80,67:70"
139,lhs,0,30,40,80,90,20,20,70,40,"60:30,61:40,62:80,63:90,64:20,65:20,66:70,67:40"
140,lhs,0,30,40,100,20,80,50,40,90,"60:30,61:40,62:100,63:20,64:80,65:50,66:40,67:90"
141,lhs,0,30,40,100,60,50,20,70,10,"60:30,61:40,62:100,63:60,64:50,65:20,66:70,67:10"
142,lhs,0,30,50,70,90,50,70,30,50,"60:30,61:50,62:70,63:90,64:50,65:70,66:30,67:50"
143,lhs,0,30,60,10,70,0,20,0,80,"60:30,61:60,62:10,63:70,64:0,65:20,66:0,67:80"
144,lhs,0,30,60,20,70,100,40,10,60,"60:30,61:60,62:20,63:70,64:100,65:40,66:10,67:60"
145,lhs,0,30,60,80,0,80,0,80,90,"60:30,61:60,62:80,63:0,64:80,65:0,66:80,67:90"
146,lhs,0,30,60,100,50,50,80,20,40,"60:30,61:60,62:100,63:50,64:50,65:80,66:20,67:40"
147,lhs,0,30,70,40,10,100,70,70,0,"60:30,61:70,62:40,63:10,64:100,65:70,66:70,67:0"
148,lhs,0,30,80,10,0,20,60,80,20,"60:30,61:80,62:10,63:0,64:20,65:60,66:80,67:20"
149,lhs,0,30,80,60,10,70,60,40,40,"60:30,61:80,62:60,63:10,64:70,65:60,66:40,67:40"
150,lhs,0,30,80,90,0,50,90,20,30,"60:30,61:80,62:90,63:0,64:50,65:90,66:20,67:30"
151,lhs,0,30,80,90,20,100,30,50,50,"60:30,61:80,62:90,63:20,64:100,65:30,66:50,67:50"
152,lhs,0,30,90,30,70,100,30,90,10,"60:30,61:90,62:30,63:70,64:100,65:30,66:90,67:10"
153,lhs,0,30,100,0,0,90,0,70,60,"60:30,61:100,62:0,63:0,64:90,65:0,66:70,67:60"
154,lhs,0,30,100,60,60,80,60,60,30,"60:30,61:100,62:60,63:60,64:80,65:60,66:60,67:30"
155,lhs,0,30,100,70,60,50,0,20,50,"60:30,61:100,62:70,63:60,64:50,65:0,66:20,67:50"
156,lhs,0,30,100,90,90,90,70,10,50,"60:30,61:100,62:90,63:90,64:90,65:70,66:10,67:50"
157,lhs,0,30,100,90,100,40,20,100,50,"60:30,61:100,62:90,63:100,64:40,65:20,66:100,67:50"
158,lhs,0,40,0,0,60,80,100,70,60,"60:40,61:0,62:0,63:60,64:80,65:100,66:70,67:60"
159,lhs,0,40,0,30,60,30,30,60,80,"60:40,61:0,62:30,63:60,64:30,65:30,66:60,67:80"
160,lhs,0,40,0,40,40,40,50,20,60,"60:40,61:0,62:40,63:40,64:40,65:50,66:20,67:60"
161,lhs,0,40,0,40,60,80,50,0,50,"60:40,61:0,62:40,63:60,64:80,65:50,66:0,67:50"
162,lhs,0,40,0,60,100,80,50,60,60,"60:40,61:0,62:60,63:100,64:80,65:50,66:60,67:60"
163,lhs,0,40,0,70,30,10,90,0,30,"60:40,61:0,62:70,63:30,64:10,65:90,66:0,67:30"
164,lhs,0,40,10,10,0,0,100,10,60,"60:40,61:10,62:10,63:0,64:0,65:100,66:10,67:60"
165,lhs,0,40,10,60,100,40,30,0,100,"60:40,61:10,62:60,63:100,64:40,65:30,66:0,67:100"
166,lhs,0,40,10,100,60,90,30,20,90,"60:40,61:10,62:100,63:60,64:90,65:30,66:20,67:90"
167,lhs,0,40,20,0,40,20,60,70,70,"60:40,61:20,62:0,63:40,64:20,65:60,66:70,67:70"
168,lhs,0,40,20,10,100,50,100,20,30,"60:40,61:20,62:10,63:100,64:50,65:100,66:20,67:30"
169,lhs,0,40,20,30,70,50,40,90,50,"60:40,61:20,62:30,63:70,64:50,65:40,66:90,67:50"
170,lhs,0,40,20,60,70,30,60,60,40,"60:40,61:20,62:60,63:70,64:30,65:60,66:60,67:40"
171,lhs,0,40,30,0,30,10,20,40,20,"60:40,61:30,62:0,63:30,64:10,65:20,66:40,67:20"
172,lhs,0,40,30,70,60,40,70,60,80,"60:40,61:30,62:70,63:60,64:40,65:70,66:60,67:80"
173,lhs,0,40,30,90,100,0,10,80,10,"60:40,61:30,62:90,63:100,64:0,65:10,66:80,67:10"
174,lhs,0,40,40,20,0,20,0,40,0,"60:40,61:40,62:20,63:0,64:20,65:0,66:40,67:0"
175,lhs,0,40,40,60,60,90,60,40,80,"60:40,61:40,62:60,63:60,64:90,65:60,66:40,67:80"
176,lhs,0,40,40,70,30,100,60,90,10,"60:40,61:40,62:70,63:30,64:100,65:60,66:90,67:10"
177,lhs,0,40,40,80,70,80,10,70,30,"60:40,61:40,62:80,63:70,64:80,65:10,66:70,67:30"
178,lhs,0,40,40,100,100,0,50,20,70,"60:40,61:40,62:100,63:100,64:0,65:50,66:20,67:70"
179,lhs,0,40,50,10,10,70,0,30,60,"60:40,61:50,62:10,63:10,64:70,65:0,66:30,67:60"
180,lhs,0,40,50,10,50,10,20,80,40,"60:40,61:50,62:10,63:50,64:10,65:20,66:80,67:40"
181,lhs,0,40,50,20,70,80,10,90,60,"60:40,61:50,62:20,63:70,64:80,65:10,66:90,67:60"
182,lhs,0,40,50,30,10,60,70,0,10,"60:40,61:50,62:30,63:10,64:60,65:70,66:0,67:10"
183,lhs,0,40,50,40,0,50,30,90,20,"60:40,61:50,62:40,63:0,64:50,65:30,66:90,67:20"
184,lhs,0,40,50,90,60,10,50,20,60,"60:40,61:50,62:90,63:60,64:10,65:50,66:20,67:60"
185,lhs,0,40,60,50,10,50,0,30,100,"60:40,61:60,62:50,63:10,64:50,65:0,66:30,67:100"
186,lhs,0,40,60,50,90,80,10,70,50,"60:40,61:60,62:50,63:90,64:80,65:10,66:70,67:50"
187,lhs,0,40,70,10,70,80,30,10,10,"60:40,61:70,62:10,63:70,64:80,65:30,66:10,67:10"
188,lhs,0,40,70,40,70,40,90,100,50,"60:40,61:70,62:40,63:70,64:40,65:90,66:100,67:50"
189,lhs,0,40,70,70,20,70,90,50,100,"60:40,61:70,62:70,63:20,64:70,65:90,66:50,67:100"
190,lhs,0,40,80,0,50,80,90,50,0,"60:40,61:80,62:0,63:50,64:80,65:90,66:50,67:0"
191,lhs,0,40,80,30,0,30,100,30,80,"60:40,61:80,62:30,63:0,64:30,65:100,66:30,67:80"
192,lhs,0,40,80,50,60,10,50,30,30,"60:40,61:80,62:50,63:60,64:10,65:50,66:30,67:30"
193,lhs,0,40,80,70,60,0,100,60,20,"60:40,61:80,62:70,63:60,64:0,65:100,66:60,67:20"
194,lhs,0,40,90,10,20,50,100,80,70,"60:40,61:90,62:10,63:20,64:50,65:100,66:80,67:70"
195,lhs,0,40,90,10,30,10,70,50,30,"60:40,61:90,62:10,63:30,64:10,65:70,66:50,67:30"
196,lhs,0,40,90,40,30,0,70,100,70,"60:40,61:90,62:40,63:30,64:0,65:70,66:100,67:70"
197,lhs,0,40,90,60,20,90,30,70,40,"60:40,61:90,62:60,63:20,64:90,65:30,66:70,67:40"
198,lhs,0,40,90,70,80,20,90,40,10,"60:40,61:90,62:70,63:80,64:20,65:90,66:40,67:10"
199,lhs,0,40,90,100,60,10,60,90,30,"60:40,61:90,62:100,63:60,64:10,65:60,66:90,67:30"
200,lhs,0,40,100,40,40,50,80,0,30,"60:40,61:100,62:40,63:40,64:50,65:80,66:0,67:30"
201,lhs,0,40,100,50,50,50,60,70,50,"60:40,61:100,62:50,63:50,64:50,65:60,66:70,67:50"
202,lhs,0,50,0,0,80,40,20,100,50,"60:50,61:0,62:0,63:80,64:40,65:20,66:100,67:50"
203,lhs,0,50,0,10,70,100,40,90,30,"60:50,61:0,62:10,63:70,64:100,65:40,66:90,67:30"
204,lhs,0,50,0,70,60,40,10,10,0,"60:50,61:0,62:70,63:60,64:40,65:10,66:10,67:0"
205,lhs,0,50,10,60,0,80,40,70,90,"60:50,61:10,62:60,63:0,64:80,65:40,66:70,67:90"
206,lhs,0,50,10,60,50,20,70,80,80,"60:50,61:10,62:60,63:50,64:20,65:70,66:80,67:80"
207,lhs,0,50,10,70,10,40,20,60,70,"60:50,61:10,62:70,63:10,64:40,65:20,66:60,67:70"
208,lhs,0,50,20,30,10,80,30,40,30,"60:50,61:20,62:30,63:10,64:80,65:30,66:40,67:30"
209,lhs,0,50,20,40,40,100,20,90,10,"60:50,61:20,62:40,63:40,64:100,65:20,66:90,67:10"
210,lhs,0,50,20,60,80,10,0,70,10,"60:50,61:20,62:60,63:80,64:10,65:0,66:70,67:10"
211,lhs,0,50,20,70,30,90,0,90,80,"60:50,61:20,62:70,63:30,64:90,65:0,66:90,67:80"
212,lhs,0,50,30,20,0,40,90,90,60,"60:50,61:30,62:20,63:0,64:40,65:90,66:90,67:60"
213,lhs,0,50,30,20,100,20,60,60,0,"60:50,61:30,62:20,63:100,64:20,65:60,66:60,67:0"
214,lhs,0,50,30,50,80,20,40,30,50,"60:50,61:30,62:50,63:80,64:20,65:40,66:30,67:50"
215,lhs,0,50,30,70,60,80,20,100,0,"60:50,61:30,62:70,63:60,64:80,65:20,66:100,67:0"
216,lhs,0,50,30,80,100,0,0,40,10,"60:50,61:30,62:80,63:100,64:0,65:0,66:40,67:10"
217,lhs,0,50,40,10,0,0,30,90,30,"60:50,61:40,62:10,63:0,64:0,65:30,66:90,67:30"
218,lhs,0,50,40,30,10,80,60,60,90,"60:50,61:40,62:30,63:10,64:80,65:60,66:60,67:90"
219,lhs,0,50,40,30,40,40,60,0,20,"60:50,61:40,62:30,63:40,64:40,65:60,66:0,67:20"
220,lhs,0,50,40,30,80,60,10,0,70,"60:50,61:40,62:30,63:80,64:60,65:10,66:0,67:70"
221,lhs,0,50,40,50,60,80,60,80,20,"60:50,61:40,62:50,63:60,64:80,65:60,66:80,67:20"
222,lhs,0,50,40,80,20,30,20,30,80,"60:50,61:40,62:80,63:20,64:30,65:20,66:30,67:80"
223,lhs,0,50,50,30,50,100,20,70,40,"60:50,61:50,62:30,63:50,64:100,65:20,66:70,67:40"
224,lhs,0,50,50,40,50,30,40,50,50,"60:50,61:50,62:40,63:50,64:30,65:40,66:50,67:50"
225,lhs,0,50,50,60,70,60,10,80,90,"60:50,61:50,62:60,63:70,64:60,65:10,66:80,67:90"
226,lhs,0,50,50,60,90,80,80,50,30,"60:50,61:50,62:60,63:90,64:80,65:80,66:50,67:30"
227,lhs,0,50,50,70,50,10,0,60,70,"60:50,61:50,62:70,63:50,64:10,65:0,66:60,67:70"
228,lhs,0,50,50,100,60,60,90,90,70,"60:50,61:50,62:100,63:60,64:60,65:90,66:90,67:70"
229,lhs,0,50,60,30,90,0,0,10,20,"60:50,61:60,62:30,63:90,64:0,65:0,66:10,67:20"
230,lhs,0,50,60,70,100,50,50,70,90,"60:50,61:60,62:70,63:100,64:50,65:50,66:70,67:90"
231,lhs,0,50,60,90,0,40,90,0,40,"60:50,61:60,62:90,63:0,64:40,65:90,66:0,67:40"
232,lhs,0,50,60,90,30,30,50,50,90,"60:50,61:60,62:90,63:30,64:30,65:50,66:50,67:90"
233,lhs,0,50,60,90,90,10,10,20,100,"60:50,61:60,62:90,63:90,64:10,65:10,66:20,67:100"
234,lhs,0,50,60,100,10,10,90,30,10,"60:50,61:60,62:100,63:10,64:10,65:90,66:30,67:10"
235,lhs,0,50,60,100,30,70,80,70,10,"60:50,61:60,62:100,63:30,64:70,65:80,66:70,67:10"
236,lhs,0,50,70,0,0,50,20,90,20,"60:50,61:70,62:0,63:0,64:50,65:20,66:90,67:20"
237,lhs,0,50,70,60,30,70,70,30,0,"60:50,61:70,62:60,63:30,64:70,65:70,66:30,67:0"
